"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094728","1869","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","","","","","       120","Z","        73","Z","        11","Z","","","         6","Z","","","","","","","","","","","","","","","","","","","","","   229"," ,Z,0101, ","  66.0"," ,Z,0215, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1149.9"," ,Z","","","      783"," ,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1870","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    603.5","","     603.5","Z","       113","Z","        71","Z","        11","Z","","","         6","Z","         0","Z","        87","Z","        23","Z","       137","Z","        13","Z","","","","","","","  -12.2","Z,1230,+","","","   203"," ,Z,0208, ","  48.5"," ,Z,1012, ","   34.4","Z,0628,+","-1.1","Z,1116","-2.2","Z,1211","-4.4","Z,1216","-7.2","Z,1221","-9.4","Z,1224","-2.2","Z,0326","-2.2","Z,0326","-7.2","Z,0317","-7.2","Z,0317","-10.6","Z,0225","    2983.8","8","    2983.8","Z","    997.3"," ,Z","","","      572"," ,Z","     12.11","Z","     15.84","Z","      8.38","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1871","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    426.6","","     426.6","Z","       137","Z","        97","Z","        14","Z","","","         7","Z","         3","Z","        95","Z","        33","Z","       134","Z","         4","Z","","","","","","","  -18.9","Z,1221, ","","","   229"," ,Z,0127, ","  68.6"," ,Z,1006, ","   33.3","Z,0530, ","-0.6","Z,1021","-4.4","Z,1127","-4.4","Z,1127","-8.9","Z,1128","-8.9","Z,1128","-0.6","Z,0329","-2.8","Z,0228","-9.4","Z,0223","-9.4","Z,0223","-9.4","Z,0223","    2735.2","2","    2735.2","Z","   1305.6"," ,Z","","","      873"," ,Z","     10.73","Z","     14.95","Z","      6.52","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1872","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    631.8","","     631.8","Z","       118","Z","        76","Z","        14","Z","","","        11","Z","         0","Z","       117","Z","        36","Z","       132","Z","        20","Z","","","","","","","  -16.1","Z,0305, ","","","   457"," ,Z,1226, ","  73.9"," ,Z,0726, ","   35.6","Z,0702, ","-1.1","Z,1116","-4.4","Z,1117","-4.4","Z,1117","-9.4","Z,1129","-9.4","Z,1129","-1.7","Z,0423","-2.8","Z,0325","-8.3","Z,0322","-8.3","Z,0322","-10.0","Z,0321","    3386.2","2","    3386.2","Z","   1117.9"," ,Z","","","      972"," ,Z","     10.74","Z","     14.94","Z","      6.54","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1873","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    474.0","","     474.0","Z","       137","Z","        79","Z","        10","Z","","","        12","Z","         3","Z","       110","Z","        33","Z","       123","Z","        10","Z","","","","","","","  -18.3","Z,0224,+","","","   152"," ,Z,0127, "," 121.9"," ,Z,0820, ","   34.4","Z,0725, ","-1.7","Z,1110","-2.2","Z,1111","-5.0","Z,1114","-7.8","Z,1201","","","-2.2","Z,0328","-2.2","Z,0328","-5.0","Z,0327","-10.6","Z,0306","-10.6","Z,0306","    3453.6","6","    3453.6","Z","   1219.6"," ,Z","","","     1048"," ,Z","     10.45","Z","     14.50","Z","      6.39","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1874","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    432.2","","     432.2","Z","       115","Z","        76","Z","        11","Z","","","         5","Z","         0","Z","       108","Z","        24","Z","       118","Z","        11","Z","","","","","","","  -16.1","Z,0202, ","","","   254"," ,Z,1220, ","  83.3"," ,Z,0917, ","   36.7","Z,0629, ","0.0","Z,1112","-3.3","Z,1113","-4.4","Z,1114","-8.9","Z,1214","-8.9","Z,1214","0.0","Z,0430","-5.6","Z,0413","-5.6","Z,0413","-6.7","Z,0405","-8.9","Z,0324","    3205.9","9","    3205.9","Z","   1164.6"," ,Z","","","      929"," ,Z","     10.72","Z","     15.02","Z","      6.43","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1875","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    471.9","","     471.9","Z","       129","Z","        88","Z","         7","Z","","","        14","Z","         3","Z","       114","Z","        46","Z","       125","Z","         4","Z","","","","","","","  -19.4","Z,0110, ","","","   221"," ,Z,0413, ","  66.8"," ,Z,0812, ","   33.9","Z,0625, ","-0.6","Z,1102","-2.2","Z,1103","-10.0","Z,1129","-10.0","Z,1129","-10.0","Z,1129","-2.2","Z,0422","-2.2","Z,0422","-5.6","Z,0419","-10.6","Z,0323","-10.6","Z,0323","    3343.9","9","    3343.9","Z","   1033.5"," ,Z","","","     1203"," ,Z","      9.67","Z","     13.59","Z","      5.74","Z","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1876","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    618.3","","     618.3","0","       121","0","        72","0","        11","0","","","        11","Z","         0","0","        99","0","        38","0","       118","0","        18","0","","","","","","","  -16.1","0,1210, ","","","   279"," ,Z,0204, "," 108.0"," ,0,0325, ","   36.7","0,0709, ","0.0","0,1015","-7.2","0,1130","-7.2","0,1130","-7.2","0,1130","-10.0","0,1201","-0.6","0,0410","-2.2","0,0323","-9.4","0,0320","-9.4","0,0320","-9.4","0,0320","    3211.6","6","    3211.6","0","   1061.5"," ,0","","","      779"," ,Z","     11.09","0","     14.86","0","      7.32","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1877","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    546.3","","     546.3","0","       116","0","        68","0","         5","0","","","         8","Z","         0","0","        87","0","        25","0","       135","0","         2","0","","","","","","","  -12.2","0,0319, ","","","   208"," ,Z,0102, "," 102.9"," ,0,1004, ","   33.3","0,0726, ","0.0","0,1107","-3.9","0,1120","-4.4","0,1121","-6.7","0,1202","","","0.0","0,0408","-2.2","0,0329","-10.6","0,0320","-10.6","0,0320","-10.6","0,0320","    3287.8","8","    3287.8","0","   1021.6"," ,0","","","      697"," ,Z","     11.56","0","     15.35","0","      7.77","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1878","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    562.5","","     562.5","0","       116","0","        71","0","        14","0","","","         5","Z","         0","0","        74","0","        29","0","       130","0","        11","0","","","","","","","  -13.9","0,0203,+","","","   127"," ,Z,0131, ","  84.1"," ,0,0806, ","   34.4","0,0718, ","-1.7","0,1105","-3.3","0,1216","-4.4","0,1219","-7.2","0,1223","-10.0","0,1224","-2.2","0,0326","-2.2","0,0326","-10.6","0,0325","-10.6","0,0325","-10.6","0,0325","    2778.8","8","    2778.8","0","   1236.7"," ,0","","","      349"," ,Z","     12.01","0","     15.68","0","      8.33","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1879","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    490.3","","     490.3","0","       125","0","        71","0","        11","0","","","        14","Z","         1","0","       105","0","        33","0","       139","0","        10","0","","","","","","","  -20.0","0,0103, ","","","   330"," ,Z,0116, "," 100.3"," ,0,0818, ","   36.7","0,0716, ","-1.7","0,1025","-3.9","0,1104","-5.0","0,1105","-8.9","0,1121","-8.9","0,1121","-3.3","0,0406","-3.3","0,0406","-5.6","0,0308","-7.8","0,0301","-12.8","0,0228","    3038.3","3","    3038.3","0","    991.9"," ,0","","","      968"," ,Z","     11.20","0","     15.24","0","      7.16","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1880","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    590.9","","     590.9","0","       118","0","        75","0","         8","0","","","        11","Z","         2","0","        97","0","        29","0","       140","0","        10","0","","","","","","","  -21.1","0,1230, ","","","   102"," ,Z,1229,+","  47.2"," ,0,0722, ","   35.6","0,0527, ","-4.4","0,1118","-4.4","0,1118","-4.4","0,1118","-10.6","0,1122","-10.6","0,1122","-3.3","0,0412","-3.3","0,0412","-6.1","0,0326","-10.0","0,0325","-10.0","0,0325","    2682.1","1","    2682.1","0","    931.2"," ,0","","","      706"," ,Z","     11.60","0","     15.68","0","      7.52","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1881","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    548.8","","     548.8","0","       111","0","        72","0","         6","0","","","         9","Z","         1","0","        96","0","        33","0","       140","0","        11","0","","","","","","","  -19.4","0,0202, ","","","   165"," ,Z,0105, ","  55.6"," ,0,0319, ","   38.3","0,0907, ","-3.3","0,1122","-3.3","0,1122","-5.0","0,1125","-6.7","0,1211","","","-5.0","0,0407","-5.0","0,0407","-5.0","0,0407","-11.1","0,0226","-11.1","0,0226","    3492.5","5","    3492.5","0","    921.7"," ,0","","","      612"," ,Z","     11.23","0","     15.23","0","      7.24","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00094728","1882","40.77898","-73.96925","42.7","NY CITY CENTRAL PARK, NY US","","","    517.0","","     517.0","0","       125","0","        83","0","         6","0","","","        11","Z","         2","0","        98","0","        29","0","       123","0","         8","0","","","","","","","  -21.1","0,0124, ","","","   229"," ,Z,1130, "," 210.3"," ,0,0923, ","   33.9","0,0728, ","0.0","0,1103","-3.3","0,1118","-5.0","0,1119","-6.7","0,1128","-10.0","0,1203","-2.2","0,0412","-2.2","0,0412","-5.6","0,0325","-7.8","0,0315","-10.6","0,0204","    2887.7","7","    2887.7","0","   1151.2"," ,0","","","     1122"," ,Z","     10.95","0","     14.61","0","      7.29","0","","","","","","","","","","","","","","","","","","","","","",""
